tconst	averageRating	numVotes
tt0000301	4.4	312
tt0000302	5.1	141
tt0000304	6	1022
tt0000306	5.4	168
tt0000307	5	61
tt0000308	5.7	60
tt0000309	6.1	710
tt0000310	7.3	15
tt0000313	5.9	659
tt0000319	5.8	135
tt0000321	4.9	166
tt0000328	7.2	6
tt0000335	6.1	41
tt0000337	5.1	311
tt0000340	5	228
tt0000341	4.9	286
tt0000346	4.9	162
tt0000347	4.4	82
tt0000349	5.7	95
tt0000350	5.8	615
tt0000352	5.9	24
tt0000353	5.1	292
tt0000355	6.1	561
tt0000357	5.8	336
tt0000358	6.1	575
tt0000359	7.1	2452
tt0000361	8.1	10
tt0000363	6.2	119
tt0000364	5.4	121
tt0000368	6.6	12
tt0000370	5.5	358
tt0000373	6.2	55
tt0000376	7	6
tt0000377	6.2	95
tt0000379	5.2	6
tt0000380	7.2	13
tt0000381	3.9	10
tt0000384	5.8	185
tt0000387	5.2	284
tt0000388	5.1	98
tt0000399	6.1	639
tt0000400	6.4	10
tt0000402	5.7	7
tt0000406	5.7	22
tt0000407	3.7	27
tt0000409	5.2	167
tt0000410	6.7	863
tt0000412	4.5	11
tt0000413	5.5	338
tt0000414	5.3	641
tt0000416	5.3	122
tt0000417	8.2	42764
tt0000420	6.3	2306
tt0000423	5.4	185
tt0000425	5.2	10
tt0000426	4.8	6
tt0000430	5.9	604
tt0000432	5.6	164
tt0000436	6.2	445
tt0000437	5.1	187
tt0000439	7.3	16824
tt0000440	5.4	177
tt0000441	6.5	6
tt0000442	4.7	57
tt0000443	5.8	9
tt0000446	6.1	9
tt0000447	6.4	2049
tt0000451	6.6	740
tt0000452	4.7	84
tt0000455	6.8	1649
tt0000456	4.1	36
tt0000459	4.6	51
tt0000460	6.3	7
tt0000464	4.8	342
tt0000465	7.3	1120
tt0000469	5.8	890
tt0000471	5.1	399
tt0000472	6.4	13
tt0000479	5.4	333
tt0000480	5	160
tt0000487	7	411
tt0000488	6.9	681
tt0000491	4	40
tt0000492	5	84
tt0000495	6	83
tt0000496	6.1	39
tt0000497	5.1	50
tt0000498	6.6	1017
tt0000499	7.6	3023
tt0000501	4.8	26
tt0000502	3.8	6
tt0000505	8.1	11
tt0000506	5	6
tt0000507	3.7	28
tt0000509	6.2	19
tt0000511	6.6	25
tt0000512	4.5	41
tt0000515	4.8	72
tt0000516	6.5	833
tt0000519	5.7	295
tt0000520	6.5	32
tt0000521	5.4	244
tt0000524	5.7	657
tt0000525	5.5	38
tt0000526	4.2	40
tt0000528	6	9
tt0000533	7.2	18
tt0000534	6.6	950
tt0000535	5.1	45
tt0000537	4.5	65
tt0000543	5.2	12
tt0000546	6.7	1661
tt0000548	5.5	6
tt0000550	4.4	8
tt0000552	5.7	39
tt0000553	6.5	300
tt0000554	6.2	1091
tt0000555	5.2	11
tt0000557	4.6	91
tt0000561	5.4	27
tt0000565	6.3	437
tt0000567	6.7	890
tt0000570	4.1	34
tt0000571	7	51
tt0000574	6.1	589
tt0000575	5.9	405
tt0000576	6	194
tt0000578	7.1	10
tt0000581	5.2	6
tt0000582	5.1	583
tt0000583	5.5	24
tt0000584	5	53
tt0000586	6.2	6
tt0000591	5.5	6
tt0000597	4.9	55
tt0000598	5.6	28
tt0000599	4.7	7
tt0000601	5	6
tt0000602	4.7	163
tt0000609	4.2	12
tt0000610	5	11
tt0000613	4.3	7
tt0000614	6.5	870
tt0000615	4.5	15
tt0000617	4.5	17
tt0000618	7.8	8
tt0000621	6.4	515
tt0000624	7	6
tt0000627	6.1	15
tt0000628	5.7	670
tt0000629	5.6	34
tt0000630	3.2	12
tt0000632	5.3	36
tt0000634	3.7	10
tt0000637	5.5	563
tt0000638	5.4	32
tt0000639	5.3	42
tt0000640	4.3	80
tt0000641	4.8	105
tt0000642	5.5	25
tt0000644	5.3	20
tt0000645	5.3	103
tt0000648	4.8	106
tt0000650	6.5	6
tt0000651	5.2	34
tt0000653	4.6	152
tt0000654	5.3	51
tt0000658	6.4	172
tt0000659	5.2	36
tt0000660	5.6	19
tt0000661	6.7	13
tt0000662	5.1	17
tt0000663	5.7	15
tt0000665	5.8	15
tt0000666	5.8	20
tt0000668	7	20
tt0000669	4.9	103
tt0000671	6.2	8
tt0000672	5.5	15
tt0000674	4.7	35
tt0000675	4.8	10
tt0000676	4.3	9
tt0000677	6.5	6
tt0000679	5.2	37
tt0000680	5.7	15
tt0000681	5.6	10
tt0000682	6.9	2151
tt0000683	5.6	43
tt0000684	5.1	76
tt0000685	5.8	15
tt0000689	6.5	18
tt0000690	6.3	14
tt0000694	5.4	19
tt0000695	5.8	22
tt0000697	5.4	10
tt0000698	5.7	9
tt0000699	6	10
tt0000700	5.4	47
tt0000704	5.2	19
tt0000706	5.2	13
tt0000707	5.8	9
tt0000708	4.8	11
tt0000709	5.7	30
tt0000711	4.9	8
tt0000712	6.8	5
tt0000713	6	7
tt0000715	6.2	5
tt0000717	5.6	9
tt0000720	6.3	10
tt0000722	5.4	7
tt0000724	5.2	32
tt0000725	6.4	5
tt0000727	6.2	11
tt0000728	5.9	92
tt0000730	5.8	38
tt0000731	4.6	14
tt0000733	6.3	14
tt0000734	4.2	6
tt0000736	5.2	8
tt0000737	5.5	19
tt0000738	8	12
tt0000739	6.2	8
tt0000740	5.8	9
tt0000741	5.1	10
tt0000743	6.7	7
tt0000746	7.4	11
tt0000747	5	11
tt0000748	6.1	16
tt0000749	5.7	640
tt0000750	7	7
tt0000752	5.4	90
tt0000754	7.2	40
tt0000755	5.7	157
tt0000756	5.4	85
tt0000758	6.3	18
tt0000759	7.9	9
tt0000762	5.7	7
tt0000764	5.7	100
tt0000765	5.8	8
tt0000767	5.9	10
tt0000769	5.3	119
tt0000770	5.4	102
tt0000771	6	14
tt0000772	6.3	10
tt0000775	7.2	8
tt0000776	5.8	64
tt0000778	6.6	7
tt0000779	5.7	7
tt0000781	6.6	10
tt0000782	7.4	14
tt0000783	5	5
tt0000784	6.6	8
tt0000785	5.3	33
tt0000787	5.8	10
tt0000789	5	35
tt0000790	6.2	280
tt0000792	4.8	18
tt0000793	4.9	8
tt0000797	5.3	93
tt0000798	4.6	10
tt0000800	5.5	47
tt0000801	5.5	17
tt0000807	5.1	14
tt0000809	6.3	24
tt0000815	5.2	13
tt0000816	4.7	69
tt0000817	3.2	9
tt0000819	5.6	15
tt0000821	4.8	64
tt0000823	4.8	15
tt0000825	5	13
tt0000826	4.9	12
tt0000827	5.4	34
tt0000828	5.3	58
tt0000829	4.9	14
tt0000831	5.3	83
tt0000832	6.6	2114
tt0000833	6.4	532
tt0000835	5	88
tt0000836	4.7	41
tt0000837	5.5	11
tt0000840	5.6	257
tt0000841	5.3	30
tt0000843	5.9	11
tt0000844	5.5	10
tt0000845	5.1	11
tt0000847	5.9	8
tt0000848	5.9	16
tt0000851	5.4	12
tt0000852	5.8	163
tt0000853	5.4	11
tt0000854	6	396
tt0000855	5.7	10
tt0000857	4.8	10
tt0000858	5.2	9
tt0000860	4.9	30
tt0000861	5.2	15
tt0000862	4.6	9
tt0000864	5.6	14
tt0000866	7.2	6
tt0000870	5.1	15
tt0000871	5.7	60
tt0000873	5.8	6
tt0000874	4.9	12
tt0000875	4.8	10
tt0000877	4.8	54
tt0000878	5	123
tt0000880	5.9	38
tt0000882	5.8	147
tt0000884	3.5	6
tt0000886	5.1	21
tt0000887	4.5	23
tt0000890	7	16
tt0000891	5.2	21
tt0000892	5.6	42
tt0000893	6.5	22
tt0000895	5.6	149
tt0000896	4.6	8
tt0000897	5.7	31
tt0000898	5.8	8
tt0000900	4	7
tt0000901	4.1	7
tt0000902	5	7
tt0000903	5.2	5
tt0000904	5.4	80
tt0000905	5.6	7
tt0000907	5.3	7
tt0000908	6.1	14
tt0000909	5	5
tt0000910	5.7	9
tt0000911	3.7	10
tt0000912	4.4	37
tt0000916	6.2	48
tt0000917	5.6	5
tt0000919	4.1	7
tt0000920	4.6	7
tt0000921	5.8	9
tt0000922	5.7	77
tt0000924	6.2	126
tt0000928	5.4	69
tt0000929	5.4	34
tt0000930	4	6
tt0000932	2.8	6
tt0000933	4.7	23
tt0000934	4.9	9
tt0000935	6.3	66
tt0000936	6.7	59
tt0000938	4.6	145
tt0000939	5.7	10
tt0000941	4.2	13
tt0000942	6.1	784
tt0000943	5.4	5
tt0000944	4.8	6
tt0000945	4.7	51
tt0000946	4.6	54
tt0000950	4.8	9
tt0000954	4.7	7
tt0000956	6.6	7
tt0000957	6.1	37
tt0000958	5.3	7
tt0000960	4.7	235
tt0000961	8.1	14
tt0000962	5	7
tt0000964	5.5	8
tt0000966	5.7	291
tt0000967	4.9	7
tt0000969	6	12
tt0000970	5.8	55
tt0000971	6.2	121
tt0000972	5.7	56
tt0000974	5.3	31
tt0000975	5.9	7
tt0000976	4.9	10
tt0000979	5.2	17
tt0000981	5.5	28
tt0000983	5.4	5
tt0000985	4.6	5
tt0000986	5.2	86
tt0000987	7.8	6
tt0000988	4.2	8
tt0000989	4.7	22
tt0000990	5.9	44
tt0000992	4.2	9
tt0000993	5.4	5
tt0000995	7.4	9
tt0000996	4.3	6
tt0000997	6.6	8
tt0000998	5.2	11
tt0001000	5.3	24
tt0001001	5.5	82
tt0001002	4.9	74
tt0001005	3.8	5
tt0001008	5.2	9
tt0001009	6.4	842
tt0001010	4	7
tt0001011	4.7	7
tt0001012	7	5
tt0001013	5.9	310
tt0001014	5.2	85
tt0001015	4.7	11
tt0001016	5.6	86
tt0001020	3.8	5
tt0001023	5.8	5
tt0001024	4.6	5
tt0001025	6.8	8
tt0001027	6	7
tt0001028	4.3	10
tt0001029	5.3	32
tt0001031	4.8	5
tt0001032	6	726
tt0001033	5.2	9
tt0001035	5.2	20
tt0001036	3.2	8
tt0001037	3.8	12
tt0001038	4.3	13
tt0001041	5.3	18
tt0001044	5.7	81
tt0001045	5.4	8
tt0001046	4.6	7
tt0001049	3.3	9
tt0001050	5.2	60
tt0001052	4.9	7
tt0001053	6.4	7
tt0001054	6.2	16
tt0001058	5.3	11
tt0001060	5	7
tt0001061	6.2	14
tt0001062	6.2	1049
tt0001063	6	7
tt0001064	4.9	16
tt0001065	5.1	7
tt0001066	3.3	6
tt0001067	5.1	9
tt0001071	6.4	7
tt0001072	5.6	228
tt0001074	5.8	12
tt0001075	4.9	7
tt0001076	5.6	12
tt0001077	4.6	5
tt0001078	5.7	25
tt0001079	4	9
tt0001083	5.4	97
tt0001084	5.1	138
tt0001085	6	7
tt0001086	6.4	7
tt0001088	5.3	49
tt0001089	8.3	19
tt0001090	6.9	7
tt0001091	5.5	159
tt0001092	5.8	23
tt0001094	4.9	7
tt0001095	3.6	7
tt0001098	6	10
tt0001099	5.3	7
tt0001101	5.1	14
tt0001103	5.5	13
tt0001104	5.2	13
tt0001105	6.4	750
tt0001106	6.1	76
tt0001107	6.2	32
tt0001111	4.4	9
tt0001112	3.6	19
tt0001113	5.6	8
tt0001115	4.7	11
tt0001116	4.9	10
tt0001117	5.5	8
tt0001118	5.5	133
tt0001120	5.6	159
tt0001121	4.8	14
tt0001122	5.4	9
tt0001124	5.6	5
tt0001129	5.2	16
tt0001135	4.7	22
tt0001139	4.2	8
tt0001143	4.6	14
tt0001144	4.6	12
tt0001145	5	6
tt0001150	5.4	64
tt0001151	4.8	14
tt0001152	4.6	14
tt0001153	4.8	12
tt0001156	4.5	10
tt0001159	5.6	8
tt0001161	4.5	11
tt0001165	4.8	8
tt0001175	5.8	23
tt0001176	4.3	9
tt0001184	3.1	11
tt0001185	7	14
tt0001186	5.5	49
tt0001187	4.6	9
tt0001190	6.6	8
tt0001195	4	6
tt0001200	4.5	15
tt0001202	4.9	8
tt0001206	6.1	11
tt0001207	5.7	88
tt0001211	5.5	29
tt0001216	4.8	9
tt0001217	5.9	47
tt0001218	5.3	79
tt0001223	6.4	3579
tt0001227	5.8	193
tt0001230	5	8
tt0001233	8.5	6
tt0001234	5.5	13
tt0001235	5.2	19
tt0001236	4.8	12
tt0001237	4.7	31
tt0001240	3.9	12
tt0001241	4.3	9
tt0001242	6	11
tt0001245	5.7	44
tt0001248	5.4	5
tt0001253	5	7
tt0001254	4.1	7
tt0001256	5.9	460
tt0001258	5.8	86
tt0001259	4.4	5
tt0001260	3.8	5
tt0001262	5.4	11
tt0001264	6.9	46
tt0001265	6.4	456
tt0001277	4.7	13
tt0001280	4.8	16
tt0001282	7.3	15
tt0001283	6.5	11
tt0001284	5.3	27
tt0001285	5.2	30
tt0001286	5.6	5
tt0001292	5	38
tt0001294	6.1	7
tt0001299	4.2	8
tt0001303	5.9	8
tt0001306	4.2	6
tt0001307	5.7	7
tt0001310	5.4	12
tt0001314	5.8	139
tt0001315	6.2	13
tt0001319	5	5
tt0001321	5.1	28
tt0001326	5.7	37
tt0001330	6.2	19
tt0001332	5.9	11
tt0001333	5.6	28
tt0001337	5.9	30
tt0001338	5.4	7
tt0001340	5.1	75
tt0001351	6.3	41
tt0001353	5	5
tt0001358	4.2	15
tt0001370	5.2	14
tt0001371	6	350
tt0001377	4.9	18
tt0001378	5.9	183
tt0001380	3.2	6
tt0001381	5.5	22
tt0001384	4.8	5
tt0001385	5.6	38
tt0001386	4.7	9
tt0001387	6	14
tt0001388	5.7	62
tt0001393	4	5
tt0001396	2.9	7
tt0001399	5.2	5
tt0001400	6	10
tt0001401	6	16
tt0001407	5.9	8
tt0001410	4	8
tt0001414	6.6	31
tt0001416	4	5
tt0001423	4.2	8
tt0001427	5	5
tt0001428	5.2	33
tt0001431	6.4	621
tt0001432	5.3	13
tt0001435	5.8	5
tt0001439	5.9	209
tt0001440	4.8	11
tt0001443	5.3	7
tt0001444	3.3	19
tt0001446	5.6	8
tt0001452	5.3	154
tt0001454	5.5	15
tt0001456	8.6	9
tt0001458	5.9	135
tt0001459	5.5	39
tt0001460	3	8
tt0001461	6.2	12
tt0001463	5.7	1353
tt0001469	5.9	75
tt0001475	7.4	14
tt0001481	5.7	9
tt0001482	5.1	29
tt0001488	6.3	389
tt0001490	4.8	12
tt0001496	4.2	36
tt0001497	6.5	6
tt0001498	7.7	6
tt0001499	5.6	265
tt0001500	5.7	6
tt0001508	5.2	14
tt0001510	5.4	29
tt0001517	5.7	15
tt0001518	5.7	7
tt0001519	5.3	20
tt0001527	7.7	2484
tt0001529	4.6	10
tt0001530	6	10
tt0001531	4.6	8
tt0001532	4.3	7
tt0001542	4	10
tt0001544	6.1	515
tt0001545	6.5	97
tt0001550	5.4	33
tt0001551	5.2	85
tt0001552	4.9	14
tt0001557	5	60
tt0001560	4.2	10
tt0001563	5.8	29
tt0001564	4.6	9
tt0001567	6.6	5
tt0001571	4.5	8
tt0001577	4.6	8
tt0001582	4.5	10
tt0001583	5.7	11
tt0001586	3.9	7
tt0001587	3.9	16
tt0001588	5.5	140
tt0001593	6.3	295
tt0001594	6.4	259
tt0001598	5.9	13
tt0001607	5.9	37
tt0001613	5.2	115
tt0001614	6.1	16
tt0001615	5.1	14
tt0001624	4.9	34
tt0001630	5.7	18
tt0001632	6.4	38
tt0001642	5.1	27
tt0001654	5.6	24
tt0001655	4.2	10
tt0001658	4.8	11
tt0001659	6.7	10
tt0001660	5.7	167
tt0001663	4	5
tt0001668	4.2	24
tt0001671	5.2	21
tt0001680	5.1	514
tt0001681	4.9	219
tt0001685	5.3	6
tt0001692	5.2	8
tt0001693	7.2	13
tt0001695	4.8	41
tt0001696	4.1	7
tt0001701	4.8	60
tt0001706	4.5	6
tt0001709	5.9	22
tt0001715	3.1	7
tt0001717	3.4	14
tt0001722	3.9	7
tt0001724	5.8	215
tt0001728	7.7	6
tt0001732	7.1	8
tt0001733	5.3	14
tt0001737	7	1505
tt0001738	7.3	22
tt0001740	6.5	1029
tt0001741	4.3	13
tt0001742	5.6	7
tt0001747	4.9	11
tt0001753	5.4	9
tt0001761	4.3	6
tt0001762	4.8	55
tt0001769	5.3	46
tt0001771	5.4	118
tt0001772	5.6	7
tt0001776	6.7	160
tt0001777	5.3	6
tt0001779	7	9
tt0001787	8.5	6
tt0001789	6.4	225
tt0001790	6	20
tt0001799	5	8
tt0001803	3.9	8
tt0001808	4.6	5
tt0001812	5.8	6
tt0001813	4.2	5
tt0001815	7.1	14
tt0001817	5.3	66
tt0001832	5.6	41
tt0001840	5.2	27
tt0001845	5.1	7
tt0001848	4.3	28
tt0001852	4.1	7
tt0001856	4.7	32
tt0001857	5.6	184
tt0001862	5.4	30
tt0001863	5.2	5
tt0001865	6	40
tt0001868	5.4	8
tt0001871	4.7	38
tt0001872	7.3	21
tt0001874	7.3	6
tt0001877	5.1	49
tt0001889	4	9
tt0001890	6	5
tt0001891	4.2	5
tt0001892	5.8	188
tt0001893	4.6	5
tt0001896	5.2	51
tt0001904	6	5
tt0001910	5.5	50
tt0001911	4.9	8
tt0001913	5.6	185
tt0001915	5.8	87
tt0001917	5.8	5
tt0001923	7.2	16
tt0001924	5	7
tt0001925	5.2	24
tt0001926	4.5	6
tt0001927	4.6	7
tt0001928	4.7	39
tt0001941	5.1	64
tt0001949	5.7	18
tt0001956	6.1	7
tt0001957	4.9	44
tt0001963	5.4	113
tt0001964	6	58
tt0001967	5.9	8
tt0001969	4.7	7
tt0001973	6.2	236
tt0001978	5.6	14
tt0001987	6.2	12
tt0001989	4.7	7
tt0001993	3.8	13
tt0001998	4.2	17
tt0002020	5.3	98
tt0002026	4	7
tt0002029	5.9	38
tt0002031	4.8	10
tt0002033	5.6	29
tt0002034	5.2	28
tt0002041	4.1	15
tt0002045	4.2	72
tt0002054	5.8	128
tt0002056	6.9	118
tt0002064	4.9	33
tt0002065	6.1	33
tt0002066	3.9	53
tt0002068	5.1	15
tt0002070	4.9	25
tt0002071	4.5	6
tt0002078	5.1	27
tt0002082	6.2	319
tt0002083	6	207
tt0002093	4.8	12
tt0002095	4.9	12
tt0002097	4.4	12
tt0002098	5.7	116
tt0002101	5.2	446
tt0002107	5	12
tt0002113	6.9	817
tt0002114	3.9	8
tt0002121	4.9	16
tt0002122	6.1	247
tt0002124	5.1	310
tt0002126	6.3	51
tt0002130	7	2238
tt0002132	5.8	6
tt0002133	5.8	158
tt0002136	5.6	64
tt0002139	5.5	8
tt0002143	5.9	517
tt0002144	5.4	11
tt0002145	8.7	7
tt0002151	5	20
tt0002153	5.7	44
tt0002159	4.2	22
tt0002160	6.5	73
tt0002162	4.4	41
tt0002167	5	10
tt0002172	4.9	12
tt0002176	5.9	243
tt0002177	5.8	22
tt0002179	3.8	20
tt0002181	6.2	140
tt0002186	6.3	88
tt0002190	6.1	333
tt0002196	4.4	7
tt0002197	5.6	226
tt0002198	6.3	19
tt0002199	5.7	484
tt0002200	6.2	74
tt0002202	4.7	11
tt0002203	5	38
tt0002206	5.6	12
tt0002208	6.7	1080
tt0002212	5.4	14
tt0002214	5.9	21
tt0002216	5.5	16
tt0002220	4.1	14
tt0002221	6.7	334
tt0002224	5.1	119
tt0002226	5.6	41
tt0002230	6.5	76
tt0002232	5.5	39
tt0002233	4.6	111
tt0002234	8.4	15
tt0002253	3.9	7
tt0002255	4.5	31
tt0002259	5.2	6
tt0002260	6.3	1060
tt0002261	5.9	14
tt0002266	6.6	7
tt0002268	5.2	8
tt0002273	4.9	14
tt0002277	6.3	21
tt0002278	5.1	14
tt0002280	4.8	28
tt0002281	6.1	252
tt0002282	5.4	23
tt0002287	4	7
tt0002290	5.5	41
tt0002293	3.2	6
tt0002295	7.5	6
tt0002300	6.1	9
tt0002302	5.9	31
tt0002303	5.7	154
tt0002305	7.4	17
tt0002309	8.9	11
tt0002318	5.5	13
tt0002320	3.7	6
tt0002329	5.2	22
tt0002332	4.9	15
tt0002340	5.8	39
tt0002342	5.9	67
tt0002349	5.2	13
tt0002350	6.4	268
tt0002354	6.3	122
tt0002355	5.9	47
tt0002357	6.2	183
tt0002369	6	37
tt0002370	5.9	7
tt0002371	6.1	11
tt0002374	6.2	9
tt0002375	6	5
tt0002380	4.9	7
tt0002381	6.6	1970
tt0002382	5.8	5
tt0002383	5.2	5
tt0002386	5.8	129
tt0002387	4.8	27
tt0002391	6.4	771
tt0002392	5.5	6
tt0002394	7.8	5
tt0002398	5.5	32
tt0002399	3.9	12
tt0002400	5.6	207
tt0002402	7.7	6
tt0002405	5.2	18
tt0002406	5.5	11
tt0002408	6.3	270
tt0002409	6.2	10
tt0002415	5.9	513
tt0002421	6	95
tt0002423	6.8	753
tt0002429	6.3	149
tt0002431	5.8	5
tt0002434	9.2	6
tt0002437	9	7
tt0002440	3.8	13
tt0002441	5.6	14
tt0002442	3.4	5
tt0002443	4.3	6
tt0002445	6.2	273
tt0002449	6.4	46
tt0002451	8.5	11
tt0002452	6.7	198
tt0002461	5.5	225
tt0002465	5.7	24
tt0002473	6.6	65
tt0002475	7	78
tt0002477	5.4	10
tt0002478	5.4	33
tt0002484	5.5	47
tt0002493	5.6	5
tt0002497	6.3	81
tt0002501	4.4	24
tt0002504	4.8	37
tt0002505	4.4	9
tt0002506	5.6	14
tt0002512	6.3	336
tt0002514	5.4	9
tt0002515	4.8	12
tt0002521	5.2	20
tt0002523	5.6	72
tt0002528	5	38
tt0002529	4.3	6
tt0002531	6	6
tt0002532	5.9	71
tt0002533	5.2	56
tt0002535	4.7	31
tt0002536	5.5	36
tt0002538	4.7	7
tt0002542	5.7	10
tt0002544	5.9	158
tt0002545	7.4	7
tt0002546	7.3	16
tt0002547	5.8	5
tt0002550	5.1	29
tt0002553	6.6	757
tt0002555	4.8	24
tt0002556	6	18
tt0002562	4.9	12
tt0002569	5.3	196
tt0002574	6.1	11
tt0002576	4.5	34
tt0002578	3.8	5
tt0002582	8.9	11
tt0002586	5.3	9
tt0002588	6.3	20
tt0002592	7.2	13
tt0002593	6	5
tt0002601	4.8	30
tt0002603	5	16
tt0002605	5.4	25
tt0002606	5.4	5
tt0002610	4.8	107
tt0002621	5.2	62
tt0002628	5.7	68
tt0002637	7.2	5
tt0002639	6.1	139
